Alimento,Calorias (Kcal),Porção (g),Colheres de Sopa,Unidade,Carboidratos (g),Proteínas (g),Gorduras (g),Fonte dos Dados
Arroz Branco,97,100.0,6.6,,26.3,2.6,0.2,(TACO)
Feijão Preto,132,100.0,6.6,,15.4,9.0,1.4,(TACO)
Filé de Frango (grelhado),165,100.0,,1.0,23.6,31.0,3.6,(TACO)
Filé de Contrafilé (grelhado),194,100.0,,1.0,0.0,35.0,4.5,(TACO)
Filé de Pescada Frito (Tilápia),171,100.0,,1.0,0.0,28.6,8.1,(TACO)
Ovo de Galinha Frito,95,50.0,,1.0,5.5,6.3,6.8,(TACO)
Ovo de Galinha Cozido,78,50.0,,1.0,5.5,6.3,5.3,(TACO)
Azeite de Oliva Extra Virgem,884,100.0,7.5,,0.0,0.0,100.0,(FatSecret)
Banana Nanica,92,100.0,,1.0,23.8,1.4,0.4,(TACO)
Maçã Fuji,18,182.0,,1.0,4.83,0.09,0.06,(TACO)
Whey Morango Growth,127,30.0,,1.0,4.0,23.0,2.0,(Growth)
Aveia em Flocos (Nestlé),110,30.0,3.0,,16.0,4.6,2.3,(Nestlé)
Hipercalórico,229,60.0,,1.0,50.0,6.0,0.5,Embalagem
Leite Integral,117,,,1.0,9.6,6.2,6.0,Italac
